question,scratch,answer
A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start? Equation: <equation> ( 9.0 + 12.0 )</equation> ,<scratch> Adding 9 and 2 at digit level. Current carry is 0; 9 plus 2 plus carry gives 11; new carry is 1; result is 1.  Adding 0 and 1 at digit level. Current carry is 1; 0 plus 1 plus carry gives 2; new carry is NaN; result is 2. The overall result is 21</scratch>,21
6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them. How many birds are sitting on the fence? Equation: <equation> ( 6.0 + 4.0 )</equation> ,<scratch> Adding 6 and 4 at digit level. Current carry is 0; 6 plus 4 plus carry gives 10; new carry is 0; result is 0.  Adding 0 and 8 at digit level. Current carry is 0; 0 plus 8 plus carry gives 8; new carry is NaN; result is 8. The overall result is 18</scratch>,18
In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school. How many girls are there in the school now? Equation: <equation> ( 732.0 + 682.0 )</equation> ,<scratch> Adding 732 and 682 at digit level. Current carry is 0; 732 plus 682 plus carry gives 1414; new carry is 0; result is 4. The overall result is 1414</scratch>,1414
Baker made 121 cakes. He sold 105 of them and bought 170 new cakes. How many cakes does baker still have? Equation: <equation> ( ( 121.0 - 105.0 ) + 170.0 )</equation> ,<scratch> Subtracting 105 and 121 at digit level. Current carry is 0; 105 minus 121 plus carry gives -16; new carry is 1; result is 6.  Adding 6 and 170 at digit level. Current carry is 1; 6 plus 170 plus carry gives 176; new carry is NaN; result is 6. The overall result is 182</scratch>,182
Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate How many students participated in the suggestion of new food items? Equation: <equation> ( 450.0 + 38.0 )</equation> ,<scratch> Adding 450 and 38 at digit level. Current carry is 0; 450 plus 38 plus carry gives 488; new carry is 0; result is 8. The overall result is 488</scratch>,488
A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether? Equation: <equation> ( 40.0 + 49.0 )</equation> ,<scratch> Adding 40 and 49 at digit level. Current carry is 0; 40 plus 49 plus carry gives 89; new carry is NaN; result is 9. The overall result is 99</scratch>,99
Dan has $ 4. He bought a candy bar for $ 8. Then his friend have him $ 5 How much money is left? Equation: <equation> ( ( 4.0 - 8.0 ) + 5.0 )</equation> ,<scratch> Subtracting 8 from 4 at digit level. Current carry is 0; 4 minus 8 plus carry gives -4; new carry is 0; result is -4.  Adding 0 and 5 at digit level. Current carry is 0; 0 plus 5 plus carry gives 5; new carry is NaN; result is 5. The overall result is 1</scratch>,1
After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 703 visitors came to the Buckingham palace on the previous day. If there were 246 visitors on that day How many visited the Buckingham palace within 25 days? Equation: <equation> ( 246.0 + 703.0 )</equation> ,<scratch> Adding 246 and 703 at digit level. Current carry is 0; 246 plus 703 plus carry gives 949; new carry is 0; result is 9. The overall result is 949</scratch>,949
Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening? Equation: <equation> ( 5.0 + 8.0 )</equation> ,<scratch> Adding 5 and 8 at digit level. Current carry is 0; 5 plus 8 plus carry gives 13; new carry is 0; result is 3. The overall result is 13</scratch>,13
Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days. How many kids did she play with altogether? Equation: <equation> ( 12.0 + 14.0 )</equation> ,<scratch> Adding 12 and 14 at digit level. Current carry is 0; 12 plus 14 plus carry gives 26; new carry is 0; result is 6. The overall result is 26</scratch>,26
